,User_Name,Name,Description (Status),Tweets Posted,Location,No of Followers,Device Used for Tweet,Date of Tweet Creation,No of Friends
802,Rajua1986,Md Raju,,"RT @answervinod: CRYPTO TAXES IN INDIA - A Summary
- 30% Tax on digital assets
- 1% TDS on all transactions
- Losses do not offset gains in…","Sylhet, Bangladesh",3,Twitter for Android,2022-02-06 19:22:09+00:00,180
803,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.","#Budget2022, with a focus on achieving self-reliance in #defence, builds on the achievements of recent years and ch… https://t.co/VmHn2MMrFj",India,106456,TweetDeck,2022-02-06 19:20:00+00:00,136
804,buzzsubash,Subash Krishnan,Data storage architect@HPE. FnO Trader. Investor.,"RT @AMISHPA99598328: VEDANT FASHIONS LTD IPO  FULL  DETAILS
https://t.co/B9rDqG4dxP
#nifty50 #sharemarket #angelbroking #angelbroking  #pha…",Singapore,1481,Subash Auto Tweet Bot,2022-02-06 19:20:00+00:00,117
805,Shriyanshtiwari,Shriyansh Tiwari,Be kind and helpful.,RT @MindVoice18: Brace yourself for #Budget2022 gyan from Bhakts 😂 https://t.co/ngmSyyxcTb,indore,85,Twitter for Android,2022-02-06 19:18:10+00:00,205
806,Shriyanshtiwari,Shriyansh Tiwari,Be kind and helpful.,RT @Cryptic_Miind: Condition of Salaried Class Bhakts calling #Budget2022 historic: https://t.co/ehqMhTCBla,indore,85,Twitter for Android,2022-02-06 19:18:03+00:00,205
807,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Uncertainties in last 2 years &amp; the constant fear of the #health infrastructure being overrun by the virus had taug… https://t.co/S71KwGVUyz,India,106456,TweetDeck,2022-02-06 19:15:00+00:00,136
808,PawanSaysToo,Pawan_ 2.0,जो भी हो कल फिर आएगा | Same old PawanSays cuz old account 👋🤷 | Guardian_of_biryani | He/Him,"RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes",,569,Twitter for Android,2022-02-06 19:14:03+00:00,520
809,Vipingarg123456,CA vipingarg,,RT @BimalGST: #Budget2022 - Transfer of IGST &amp; CGST deposited and balance lying in e-cash Ledger of one Distinct Person to e-cash Ledger of…,,31,Twitter for Android,2022-02-06 19:13:34+00:00,184
810,SAJIDKHILJI,SAJID@KHAN,"जुल्म इतना बुरा नहीं, जितनी बुरी खामोशी है..!!","RT @Diya4RG: Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes","Jodhpur, India",155,Twitter for Android,2022-02-06 19:11:46+00:00,347
811,Diya4RG,Nadya,An ex Psychologist Counsellor,"Budget 2022 
#BUDGET2022 
#Budget 
#Budget22 
#BudgetBytes https://t.co/jx9sJ5ERe1",,2021,Twitter for Android,2022-02-06 19:10:03+00:00,1321
812,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Tax concessions for co-operative societies is a step in the right direction to support financial inclusion of… https://t.co/6IUqK7zuYS,India,106456,TweetDeck,2022-02-06 19:10:00+00:00,136
813,dhavalchavda_,Dhaval_Chavda🇮🇳,NATION FIRST 🇮🇳🇮🇳............. CONVENOR OF BJP BOTAD DIST. SOCIAL MEDIA DEPT...,"RT @CNBCTV18News: #Budget2022 | 'Indian businesses should ensure that India doesn't miss the bus this time like we did in 2011-12, also nee…",Botad ,824,Twitter for iPhone,2022-02-06 19:09:36+00:00,660
814,GreensBlr,BlrTheGreens,Be there!,"RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",Anywhere...Everywhere ,233,Twitter for Android,2022-02-06 19:08:23+00:00,717
815,sumanboi,Suman Kumar,"Ex Air Warrior, Banker,
Trade Union Activist, Social Worker","RT @idesibanda: 2017: NITI aayog CEO said for BranchLess Banking in next 3 Yrs.

2022: Commercial Banks to open 75 #DigitalBanking Branches…","Noida, India",981,Twitter for Android,2022-02-06 19:07:03+00:00,366
816,jameelsjam,JameelS جمیل,Born as a boy on 30 Nov1988 to make world full of love prosperity believe in freedom liberty of human being #LoveAll,"RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…","Ghaziabad , Delhi",9305,Twitter for iPhone,2022-02-06 19:04:51+00:00,3661
817,divyaanshspeaks,Divyaansh Bajpai,,Thank you for your contribution #Budget2022 https://t.co/oHu4Kr12vt,lucknow,38,Twitter for iPhone,2022-02-06 19:04:21+00:00,31
818,ujjwalpandeybst,Ujjwal Pandey,Ex President Candidate Student Union at KDC Basti. Support @nsui & @INCIndia #Indian 🇮🇳. My Leader @RahulGandhi Ji & @priyankagandhi Ji,RT @DelhiAipc: Experts on our today’s #Budget2022 analysis panel spoke with clarity and passion about a wide-ranging issues: from a glaring…,"Basti, Uttar Pradesh, India",1137,Twitter for Android,2022-02-06 19:03:14+00:00,1561
819,Osamaali029,Osama Ali,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter Web App,2022-02-06 19:00:14+00:00,2
820,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",#Mentalhealth crises are no longer limited to big towns or small groups. It is no longer a hidden epidemic. It is a… https://t.co/QSIBFxMlO7,India,106456,TweetDeck,2022-02-06 19:00:01+00:00,136
821,AkanaHarish,CA Harish Kumar,Jai Hind!!!,"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","Bangalore ,india",27,Twitter for Android,2022-02-06 18:59:05+00:00,228
822,_AA_Iam,Abhinav Akhilesh,"Father, Public Policy Consultant, Partner @KPMGIndia, Thinker, Wannabe Doer, Social Liberal, Economic Conservative, Travel Junkie | Views are personal",#KPMGBudgetLive | The Government has given an investor-friendly budget to help attract #investment for capital form… https://t.co/vfKildZm9W,"Noida, India",210,PostBeyond,2022-02-06 18:58:13+00:00,102
823,that_aloof_girl,Mehar Aqsa,"If I was funny, I would have a good Twitter bio😆","RT @SHARIQUEUSMANI_: Your profit is my profit....
Your losses are your losses.
#cryptocurrency 
#Budget2022",,6,Twitter for Android,2022-02-06 18:57:21+00:00,9
824,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Forced spending on domestic industry—though laudable in intent—is unlikely to create the industrial ecosystem withi… https://t.co/4RRkr9nPUc,India,106456,TweetDeck,2022-02-06 18:55:00+00:00,136
825,owaz_for_u,Owais Ahmed,"fresher in Twitter university 😬
if that make some sense",RT @SudarshanEMA: This reaction is priceless #Budget2022 https://t.co/26i1sUtPcj,"Nagpur, India",68,Twitter for Android,2022-02-06 18:54:49+00:00,826
826,AipcNorth,AIPC NORTH DELHI,"President-Prashant Dubey,VP-Anuma Acharya,Secretary- Prakhar Dikshit Professionals who are determined to change the present narrative. If you are one join us","RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",,1217,Twitter for Android,2022-02-06 18:51:54+00:00,818
827,radhemishra10,Shyam,🌍#Nature🏞️🌴🌲and🐝#Music🎶🚴‍♀️#Lover💖 CA Final Aspirant👨🏻‍🎓,"RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","New Delhi, India",501,Twitter for Android,2022-02-06 18:50:08+00:00,2148
828,SensibleArticl1,Sensible Indian,"We are all born ignorant, but one must work hard to remain stupid. 37% worked really hard since 2014 to get us where we are :(","RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",Union of India,1297,Twitter for Android,2022-02-06 18:48:40+00:00,2031
829,suneeiljoshi,SUNIL JOSHI SANSKRIT,"Journalist, motivational speaker and academic researcher on the #Sanskrit Language, Indology, Indian Culture, Spirituality, Yoga, Ayurveda & Tantra.",RT @IndiaToday: Nirmala Sitharaman quoted shlokas from the Sanskrit epic Mahabharata while announcing tax benefits in the Union Budget 2022…,"New Delhi, India",1006,Twitter for Android,2022-02-06 18:45:28+00:00,1260
830,Swayam3656,Swayam Kumar,"Indian
Preparing to be future doctor
Interested in geopolitics
🇮🇳❤️🇹🇼
#bitcoin","RT @Nothingsther3: Watch till end
#Budget2022 #nirmalasitaraman https://t.co/2a2SVWtKZd","India,Asia,earth,Solar system,",17,Twitter Web App,2022-02-06 18:45:26+00:00,358
831,SyedSohail6767,syed sohail,human being 😎,"RT @KTRTRS: Hon’ble Sri @narendramodi Ji, 

As NDA Govt is set to present
#Budget2022 I would like to remind you of some promises that you…",telangana India,30,Twitter for Android,2022-02-06 18:45:10+00:00,479
832,Syed87428950,Syed,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,1,Twitter for Android,2022-02-06 18:45:05+00:00,39
833,aloksinghalca,CA Alok Singhal,,New Section 139(8A) in Income Tax is proposed to be introduced for furnishing the updated returns which can be file… https://t.co/ym3S6oaMnf,,0,Twitter Web App,2022-02-06 18:44:31+00:00,0
834,KrisNair1,G. Kris Nair,| Secular | @INC #WithRG | @CongressTask - CTF | Support Women Empowerment | honoured @srivatsayb @srinivasiyc @GauravPandhi | Proud Indian |,"RT @AdvSameena786: Our vote is our vote.
Choose wisely.

Looter modi sarkar.
Say No To Looters.
#Budget2022 https://t.co/dZ96L6Q84E","Mumbai, India",18761,Twitter for Android,2022-02-06 18:41:09+00:00,6525
835,KrisNair1,G. Kris Nair,| Secular | @INC #WithRG | @CongressTask - CTF | Support Women Empowerment | honoured @srivatsayb @srinivasiyc @GauravPandhi | Proud Indian |,"RT @AdvSameena786: Conclusion of #Budget2022 is shown in the picture.

Retweet if agree. https://t.co/S4qyu1NE0n","Mumbai, India",18761,Twitter for Android,2022-02-06 18:41:04+00:00,6525
836,nss_rd,NSS RD Guwahati,Not Me But You,"RT @pibyas: National Service Scheme (NSS) allocation increases by 97% in #Budget2022-23

Shri @ianuragthakur thanks the Prime Minister for…",Guwahati,721,Twitter Web App,2022-02-06 18:40:38+00:00,85
837,QuaziWasim,Adv Wasim Quazi,"Proprietor of Wasim Quazi & Associates 
                          Tax Practitioner(Advocate)","RT @CaSondagar: Virtual Digital Assets
#IncomeTax and #TDS as per #Budget2022 https://t.co/KbAId1EDUt","Nagpur, India",147,Twitter for Android,2022-02-06 18:39:10+00:00,350
838,Jagadis57317762,Jagadish,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter Web App,2022-02-06 18:38:55+00:00,28
839,roybrickworks,Rajput Singha,,"RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…","West Bengal, India",292,Twitter for Android,2022-02-06 18:38:42+00:00,1613
840,IVig100,Nehruvian,"Consultant Paediatrician  at Mumbai-08. 
Reading, Travelling and politics.' NEHRUVIAN,,
REMEMBER,I WILL TROLL A TROLL","RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…","Mumbai, India",2368,Twitter for Android,2022-02-06 18:38:33+00:00,4926
841,SalmanSoz,Salman Anees Soz,"Politics & Economics, author, commentator, @incindia, @profcong, Ex-@worldbank, Ex-DoubleClick; @yale @northeastern @ststephensclg atworksalman@gmail.com","RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",Here and there,68884,Twitter for iPhone,2022-02-06 18:37:23+00:00,1254
842,jvij1967,jyoti vij,"Dy Secretary General, FICCI, views personal, RTs are not endorsements",RT @CNBCTV18News: #BudgetWithCNBCTV18 | FM @nsitharaman addresses the industry leaders at @ficci_india on #Budget2022 https://t.co/9DRtM3BZ…,,434,Twitter for iPhone,2022-02-06 18:36:34+00:00,137
843,jvij1967,jyoti vij,"Dy Secretary General, FICCI, views personal, RTs are not endorsements","RT @CNBCTV18News: #Budget2022 | 'Time now for us to rise as Team India, Indian businesses should ensure that India doesn't miss the bus thi…",,434,Twitter for iPhone,2022-02-06 18:35:59+00:00,137
844,rzk_ali,Rzk,A Proud INDIAN | Lawyer | Want India to be True Secular | RT  & ❤ not Endorsements.,"RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",Union of India,2176,Twitter for Android,2022-02-06 18:35:08+00:00,4301
845,jvij1967,jyoti vij,"Dy Secretary General, FICCI, views personal, RTs are not endorsements","RT @CNBCTV18Live: Finance Minister @nsitharaman speaks at the @ficci_india National Executive Committee meeting, says economic recovery is…",,434,Twitter for iPhone,2022-02-06 18:35:06+00:00,137
846,jvij1967,jyoti vij,"Dy Secretary General, FICCI, views personal, RTs are not endorsements","RT @CNBCTV18News: #Budget2022 | 'Will utilise all Rs 7.5 lk cr allocated for capex in FY23, working on generating more revenue than the tar…",,434,Twitter for iPhone,2022-02-06 18:35:00+00:00,137
847,jvij1967,jyoti vij,"Dy Secretary General, FICCI, views personal, RTs are not endorsements","RT @CNBCTV18News: #Budget2022 | 'Want be a facilitator, will ask CBDT and CBIC to come up with FAQs for taxation related issues,' says Fina…",,434,Twitter for iPhone,2022-02-06 18:34:40+00:00,137
848,ghfindia18,Global Human Foundation,,"RT @OTOAI_India: OTOAI Board Members share their views on Union Budget 2022-23
.
.
.
.
.
.
.
.
.
#Budget2022 #BudgetSession #budget #travel…",,4,Twitter for iPhone,2022-02-06 18:34:39+00:00,24
849,SaurabhMadanSi1,Saurabh Madan Singh,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter Web App,2022-02-06 18:34:29+00:00,13
850,jvij1967,jyoti vij,"Dy Secretary General, FICCI, views personal, RTs are not endorsements","RT @CNBCTV18News: #Budget2022 | 'Indian businesses should ensure that India doesn't miss the bus this time like we did in 2011-12, also nee…",,434,Twitter for iPhone,2022-02-06 18:34:01+00:00,137
851,PoppyMpf6666,poppy david🤚,CONGRESSI TILL I DIE,"RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",,2183,Twitter for Android,2022-02-06 18:33:21+00:00,4351
852,HambaliKamran,Kamran Hambali,A Conversationalist Breaking Conservative grounds| Cricket in veins| Market Research & Insights Consultant| Hyderabadi| Sufism| Child Welfare | YRF| IYI,"RT @mithun__da: #Budget2022 in just 8 seconds!

@RoflGandhi_  @kunalkamra88 https://t.co/0I2OogsQSx","Hyderabad, India",165,Twitter for Android,2022-02-06 18:32:19+00:00,3333
853,Trendsetting123,Darryl,"Member AIPC,

Hardcore Rahul Gandhi Supporter,

Rewarded Twice By Goverment of India ","RT @bansalavani: Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh.

Do w…",,6790,Twitter for Android,2022-02-06 18:31:48+00:00,1495
854,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",Orderly urban #development attains criticality for national well-being and the achievement of the country’s economi… https://t.co/HJTUpeJ9I7,India,106456,TweetDeck,2022-02-06 18:30:00+00:00,136
855,ORF_CNED,The Centre for New Economic Diplomacy,,There is a big push towards #digital learning in #Budget2022. The ‘One class-one TV channel’ programme of PM eVIDYA… https://t.co/BYwepMEJAe,"New Delhi, India",1248,TweetDeck,2022-02-06 18:30:00+00:00,52
856,SunnyYa52001606,Sunny krantikati,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…","Patna, India",0,Twitter for Android,2022-02-06 18:29:14+00:00,3
857,SudipCh63980214,Sudip Chakraborty,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter for Android,2022-02-06 18:27:27+00:00,50
858,RKichlu,Ravinder Kichlu,"Journalist  at #prasarbharti #Jammu 
Social worker based at Ramban","RT @DIPRRambandic: #ShiningJK
JK registers increase in good governance indicators 
@diprjk @dcramban
@ddnewsSrinagar 
@PIBSrinagar 
@FinMin…","Jammu, Jammu And Kashmir",55,Twitter for Android,2022-02-06 18:27:11+00:00,41
859,VighneshTri2502,Vighnesh Trivedi,Jai Shree Ram🧡 BJP🧡                                    हिंदू🧡,"RT @Tejasvi_Surya: The #Budget2022 is the most tech savvy budget yet. 

Absolutely stoked at the great potential this has for India of 2047!","Thane, India",4,Twitter for iPhone,2022-02-06 18:26:32+00:00,60
860,Sekararumramad1,Sekar arum rama dhani,,RT @cdrishabh: We couldn't agree more after hearing the #Budget2022 and #Crypto acceptability as a #digitalasset https://t.co/v0RehL1qSl,,3,Twitter Web App,2022-02-06 18:25:10+00:00,109
861,STPIBengaluru,STPI Bengaluru,"Software Technology Parks of India (STPI) is an autonomous society under MeitY,Govt.of India to promote software exports from India.RTs are not endorsements.",RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,"No.76 & 77, 6th Floor,Cyber Pa",3521,Twitter for Android,2022-02-06 18:24:41+00:00,77
862,RuthlessRajesh,Rajesh,Value Loyalty Above All Else.,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…","Bengaluru, India",3,Twitter for Android,2022-02-06 18:24:28+00:00,4
863,STPIBengaluru,STPI Bengaluru,"Software Technology Parks of India (STPI) is an autonomous society under MeitY,Govt.of India to promote software exports from India.RTs are not endorsements.","RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…","No.76 & 77, 6th Floor,Cyber Pa",3521,Twitter for Android,2022-02-06 18:24:17+00:00,77
864,OmParab13,Om Parab,,"RT @aflatoon391: When you ask BJP Supporters the benefits of #Budget2022, they https://t.co/2bz5aLSVzO",,0,Twitter for Android,2022-02-06 18:22:18+00:00,5
865,bansalavani,Avani Bansal,"Adv., Supreme Court; 
National Spokesperson, Youth Congress;
National Legal Aid Coordinator, Mahila Congress;
Founder -  https://t.co/4VU2CMyPiO ;
Hamara Samvidhan @TheWire",Fantastic discussion on #Budget2022 via @ProfCong with @SupriyaShrinate @SalmanSoz @dubeyamitabh and @VijayRajSingh… https://t.co/CwkGP7HF1p,New Delhi,7204,Twitter for Android,2022-02-06 18:22:12+00:00,1627
866,A_Gilly18,A_Gilly18,A Proud Indian!,RT @IDCInd: The Week That Was | The #unionbudget2022 included a couple of announcements that focused on #India's progression in a #digitalf…,India,32,Twitter Web App,2022-02-06 18:20:24+00:00,41
867,MeenaYashodhara,yashodhara meena,,"RT @stpiindia: #STPIUPDATE: Glimpses of Sh. Arvind Kumar, DG, #STPIINDIA sharing thoughts on #Budget2022 on @News18India, addressing at a w…",,150,Twitter for Android,2022-02-06 18:17:55+00:00,71
868,MeenaYashodhara,yashodhara meena,,RT @Omkar_Raii: The significant #Capex boost in the #Budget2022 touching Rs. 7.50 lakh crore for the FY 2023 from Rs. 5.54 lakh crore in FY…,,150,Twitter for Android,2022-02-06 18:17:23+00:00,71
869,MeenaYashodhara,yashodhara meena,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,150,Twitter for Android,2022-02-06 18:17:20+00:00,71
870,Gurupad45028936,Gurupada Das,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,1,Twitter for Android,2022-02-06 18:15:22+00:00,24
871,InderSi53509808,Inderpal Singh,,"RT @Fight4Right81: #cryptocurrency
#Budget2022

Summary of fake matrimonial cases like 498A, DV, CRPC 125 etc 👇👇

@realsiff https://t.co/Y0…","Dhanbad, India",38,Twitter for Android,2022-02-06 18:15:04+00:00,32
872,puneetbajpai786,Puneet Bajpai,#a_king_is_always_be_a_king,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…","Kanpur, India",9,Twitter for Android,2022-02-06 18:15:03+00:00,115
873,ORFMumbai,ORF Mumbai,"Non–partisan, independent analyses on security, strategy, economy, development, energy & global governance| #ColabaConversation: Dec 1,2&3, 2021: https://t.co/T8CoThgdLo","Although the #UnionBudget pushes for urban planning, will the architecture of Indian federalism continue to limit i… https://t.co/REYM8RvaGD","Nariman Point, Mumbai, India",3179,TweetDeck,2022-02-06 18:15:00+00:00,44
874,orfonline,ORF,"Non–partisan, independent analyses on security, strategy, economy, development, energy and global governance.",This essay by @DrNilanjanG &amp; @soumyabh_swears examines the #UnionBudget 2022 from the perspective of the changing p… https://t.co/1IWgzlAAXG,India,106456,TweetDeck,2022-02-06 18:15:00+00:00,136
875,cabhagwan,Bhagwan kshirsagar,,"RT @BimalGST: #Budget2022 - No Interest on Reversal of GST ITC wrongly availed but not utilized and that too retrospectively from July 1, 2…","Pune, India",62,Twitter for Android,2022-02-06 18:12:59+00:00,124
876,Dipkuma11493962,Dipkumar Das,I love my india,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,3,Twitter for Android,2022-02-06 18:11:33+00:00,20
877,bjpintcelblrcen,BJP Intellectual Cell - Bengaluru Central,"Interact with intellectuals, decision makers & citizens across all strata of society. Engage in critical thinking to aid policy and administrative decisions.",The Karnataka  State Intellectual Cell held an online seminar to discuss the key features of #Budget2022. Convener… https://t.co/1LJ4x8ctOF,"Bengaluru, Karnataka",5,Twitter Web App,2022-02-06 18:06:37+00:00,28
878,Animesh83355805,Animesh Ghosh,Animesh,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,1,Twitter for Android,2022-02-06 18:06:18+00:00,15
879,jackakki5,Jack ⚡,@akshaykumar sir And @urstrulyMahesh sir 🤩,"RT @Riyu28: During today's budget :
#Budget2022 https://t.co/YkRiMAPBVA",,405,Twitter for Android,2022-02-06 18:06:17+00:00,181
880,vikasdadoo,Vikas Dadoo,Seasoned Marketing & PR Professional,"RT @Eduvanz_Finance: Hear our CEO @chopravarun speak about the impact of the Budget 2022 on education.

#Budget2022 #Education #NBFC #GST #…",India,83,Twitter for Android,2022-02-06 18:05:42+00:00,3
881,skselim834,MD SELIM,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter for Android,2022-02-06 18:03:55+00:00,24
882,Abhi91957797,Abhi,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter Web App,2022-02-06 18:01:54+00:00,190
883,Ranvirparmar,Ranveersinh parmar,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",ahmedabad,2,Twitter Web App,2022-02-06 18:01:44+00:00,4
884,Abhijit_M007,Abhijit Mukhopadhyay,"Trying to understand the world while growing old... Senior Fellow @orfonline (views are personal, RTs not endorsements)",RT @orfonline: Never before has a #UnionBudget been presented with a future planning for next 25 years. With the world going through an epo…,,472,Twitter for Android,2022-02-06 18:01:42+00:00,345
885,musik_praveen,Praveen Vijay,Auditing,"RT @IncomeTaxIndia: Budget Highlights:
Key Direct Tax proposals in Union Budget 2022. 
➡️A new section 139(8A) is proposed to be inserted,…","Tamil Nadu, India",407,Twitter for Android,2022-02-06 18:00:03+00:00,3209
886,sanjeevanisaha,Sanjeev,,RT @rishibagree: This is #Budget2022 in short https://t.co/MxRIlh5UqD,,7,Twitter for Android,2022-02-06 17:59:35+00:00,479
887,IndiaTodayFLASH,IndiaTodayFLASH,No dragging feet on news. Crisp & short news shots served here,"RT @IndiaToday: #ITBudgetRoundtable | Watch the India Today mega event with the makers of #Budget2022, tomorrow from 3 pm onward, only on I…",,1151551, IndiaTodayFLASH,2022-02-06 17:59:02+00:00,117
888,IndiaToday,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5","#ITBudgetRoundtable | Watch the India Today mega event with the makers of #Budget2022, tomorrow from 3 pm onward, o… https://t.co/pRURxDEktp",India,5949765,Twitter Media Studio,2022-02-06 17:58:41+00:00,245
889,udaya80690662,udaya,,RT @arvindtw: Exclusive interview of Hon’ble MoS @GoI_MeitY Sh. @Rajeev_GoI with @TimesNow on the government’s recent announcements in #Bud…,,30,Twitter for Android,2022-02-06 17:58:02+00:00,32
890,Mayanky00,Mayank,"í αm α híndu, wє αrє nσt thє pєσplє σf thє вσσk, wє αrє thє pєσplє σf thє líвrαrч.",RT @MANJULtoons: #Budget2022 My #cartoon for @News9Tweets https://t.co/ZcJU8S7PqO,,350,Twitter for Android,2022-02-06 17:57:36+00:00,429
891,akashsa61516993,akash sarkar,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…","Murshidabad, India",2,Twitter for Android,2022-02-06 17:57:20+00:00,13
892,SumitSa46965925,Sumit Sahu,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,0,Twitter for Android,2022-02-06 17:56:47+00:00,19
893,ab12le,தேசியம் 🇮🇳 தெய்வீகம்,"தேசியமும், தெய்வீகமும் இரு கண்கள் என்ற தேவர் திருமகனாரின் வாக்கை ஏற்று வீரனாய் வாழ்வோம்.
🔱தமிழ் 🇮🇳 தமிழினம்🔱
திராவிடம் வந்தேறிகளின் பின் வாசல் ஆதிக்க வெறி.","RT @mandakashayam18: My take on budget 2022. This budget isn’t a populist budget. This is a progressive budget.. Most importantly, calling…",தே(திரா)விடியம்.,129,Twitter Web App,2022-02-06 17:56:31+00:00,246
894,Saikira27508552,Saikiran,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,2,Twitter for Android,2022-02-06 17:55:55+00:00,8
895,ShreekantMule5,Shreekant Mule,,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,1,Twitter for Android,2022-02-06 17:55:28+00:00,6
896,Amber99460183,Amber,No Anything,"RT @CoinDCX: 📢 Live Session Alert!! 📢

Join us as we discuss and break down the Crypto Tax Updates with experts from CoinDCX &amp; @BlackbyClea…",,3,Twitter Web App,2022-02-06 17:55:01+00:00,85
